,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
55,31.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,2.151323753414942,U104,20180412
56,32.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.160365698448384,U104,20180412
57,32.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.5455000613690972,U104,20180412
58,32.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.023450441424516,U104,20180412
59,32.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,2.295294660837872,U104,20180412
60,32.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.3054451833370548,U104,20180412
61,32.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.6233471194520823,U104,20180412
62,32.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.0487763025204124,U104,20180412
63,32.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,2.304286427916086,U104,20180412
64,33.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.2117773949266912,U104,20180412
65,33.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.626200732316632,U104,20180412
66,33.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.148052782066692,U104,20180412
67,33.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,2.449216964111739,U104,20180412
68,33.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.3666927724994755,U104,20180412
69,33.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.7102195342388604,U104,20180412
70,33.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.1757755550872115,U104,20180412
71,33.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,2.4591886905443414,U104,20180412
72,34.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.2624472034054492,U104,20180412
73,34.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.7062892499685813,U104,20180412
74,34.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.2731840084110013,U104,20180412
75,34.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,2.605472334590451,U104,20180412
76,34.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.4271605568656704,U104,20180412
77,34.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.7965394642755024,U104,20180412
78,34.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.3034295158139244,U104,20180412
79,34.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,2.616541601772018,U104,20180412
80,35.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.312362521409046,U104,20180412
81,35.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.7857348293158386,U104,20180412
82,35.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.398891874983702,U104,20180412
83,35.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,2.7642942636986954,U104,20180412
84,35.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.4868379919190433,U104,20180412
85,35.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.8822924002671169,U104,20180412
86,35.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.431813141557562,U104,20180412
87,35.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,2.7765869703309223,U104,20180412
88,36.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.361531644547217,U104,20180412
89,36.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.8644675789962204,U104,20180412
90,36.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.524811268621526,U104,20180412
91,36.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,2.924557280282352,U104,20180412
92,36.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.5457166925913064,U104,20180412
93,36.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,1.9673842760568974,U104,20180412
94,36.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,2.5605102534302997,U104,20180412
95,36.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,2.93810006605117,U104,20180412
96,37.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.4099513847163576,U104,20180412
97,37.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,1.9423924510361879,U104,20180412
98,37.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,2.6503876632517547,U104,20180412
99,37.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,3.0847465971835195,U104,20180412
100,37.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,1.603769041597973,U104,20180412
101,37.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.051677490207541,U104,20180412
