kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,h,comment
58,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.71,0.78,Inherent filtration measured in lab 106 - 2018-03-28
58,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.66,0.845,Inherent filtration measured in lab 106 - 2018-03-28
58,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.32,0.883,Inherent filtration measured in lab 106 - 2018-03-28
58,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,4.81,0.908,Inherent filtration measured in lab 106 - 2018-03-28
58,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,5.75,0.947,Inherent filtration measured in lab 106 - 2018-03-28
58,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,6.31,0.965,Inherent filtration measured in lab 106 - 2018-03-28
59,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.75,0.777,Inherent filtration measured in lab 106 - 2018-03-28
59,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.72,0.843,Inherent filtration measured in lab 106 - 2018-03-28
59,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.4,0.881,Inherent filtration measured in lab 106 - 2018-03-28
59,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,4.9,0.906,Inherent filtration measured in lab 106 - 2018-03-28
59,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,5.87,0.946,Inherent filtration measured in lab 106 - 2018-03-28
59,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,6.44,0.965,Inherent filtration measured in lab 106 - 2018-03-28
60,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.8,0.775,Inherent filtration measured in lab 106 - 2018-03-28
60,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.78,0.84,Inherent filtration measured in lab 106 - 2018-03-28
60,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.47,0.879,Inherent filtration measured in lab 106 - 2018-03-28
60,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,4.99,0.905,Inherent filtration measured in lab 106 - 2018-03-28
60,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,5.98,0.945,Inherent filtration measured in lab 106 - 2018-03-28
60,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,6.56,0.964,Inherent filtration measured in lab 106 - 2018-03-28
61,4.1,0,0,770,AXIOM-Artis,Single Plane,8,2.84,0.772,Inherent filtration measured in lab 106 - 2018-03-28
61,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,3.85,0.838,Inherent filtration measured in lab 106 - 2018-03-28
61,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,4.55,0.877,Inherent filtration measured in lab 106 - 2018-03-28
