,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
55,31.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,2.1612940204523263,U104,20180412
56,32.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.3427711791540908,U104,20180412
57,32.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.644402839023407,U104,20180412
58,32.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,2.0559822897083686,U104,20180412
59,32.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,2.3069049957469443,U104,20180412
60,32.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.4517883970698995,U104,20180412
61,32.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,1.7082925506206963,U104,20180412
62,32.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,2.0788189641093258,U104,20180412
63,32.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,2.315384028794103,U104,20180412
64,33.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.4066779349074505,U104,20180412
65,33.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.7329860877894716,U104,20180412
66,33.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,2.1836703611596815,U104,20180412
67,33.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,2.4620947832113247,U104,20180412
68,33.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.5237622485140228,U104,20180412
69,33.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,1.8021761702828067,U104,20180412
70,33.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,2.2087106248151067,U104,20180412
71,33.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,2.471511737073834,U104,20180412
72,34.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.4698026706880487,U104,20180412
73,34.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.8210385237094688,U104,20180412
74,34.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,2.3120515427502166,U104,20180412
75,34.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,2.6197702456915506,U104,20180412
76,34.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.594970273549814,U104,20180412
77,34.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,1.8956120872836102,U104,20180412
78,34.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,2.339425255191427,U104,20180412
79,34.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,2.6302412082597475,U104,20180412
80,35.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.5321367222721634,U104,20180412
81,35.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.9085512381660843,U104,20180412
82,35.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,2.4412087701441396,U104,20180412
83,35.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,2.780175422415359,U104,20180412
84,35.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.6654137496948482,U104,20180412
85,35.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,1.9886120781991732,U104,20180412
86,35.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,2.471071506314868,U104,20180412
87,35.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,2.7918223543187395,U104,20180412
88,36.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.5936660910912528,U104,20180412
89,36.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,1.995422331814875,U104,20180412
90,36.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,2.5707095656638863,U104,20180412
91,36.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,2.9420551205672925,U104,20180412
92,36.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.735058069375264,U104,20180412
93,36.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,2.0810457359621384,U104,20180412
94,36.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,2.603159463081299,U104,20180412
95,36.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,2.954896977931015,U104,20180412
96,37.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.6543543538614498,U104,20180412
97,37.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,2.081500093709662,U104,20180412
98,37.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,2.699892897878074,U104,20180412
99,37.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,3.1037844353475714,U104,20180412
100,37.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.8038327536329877,U104,20180412
101,37.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,2.1727099321276406,U104,20180412
102,37.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,2.7349425184452745,U104,20180412
103,37.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,3.117757621618883,U104,20180412
104,38.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.714179256261693,U104,20180412
105,38.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,2.166675225362754,U104,20180412
106,38.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,2.828392910021694,U104,20180412
107,38.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,3.2650048859731196,U104,20180412
108,38.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.8716915600394786,U104,20180412
109,38.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,2.263464506266345,U104,20180412
110,38.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,2.866036002256787,U104,20180412
111,38.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,3.2800872287335343,U104,20180412
112,39.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.7731402334715118,U104,20180412
113,39.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,2.2509076641055477,U104,20180412
114,39.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,2.956144838932768,U104,20180412
115,39.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,3.4260375024856904,U104,20180412
116,39.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,1.9386259607930478,U104,20180412
117,39.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,2.3532644488283974,U104,20180412
118,39.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,2.9963971912969436,U104,20180412
119,39.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,3.4422679598372774,U104,20180412
120,40.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.8312450304528414,U104,20180412
121,40.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,2.334187311363747,U104,20180412
122,40.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,3.083171154865559,U104,20180412
123,40.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,3.5872129804210853,U104,20180412
124,40.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,2.0046434530673123,U104,20180412
125,40.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,2.44210381691578,U104,20180412
126,40.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,3.1260738712225353,U104,20180412
127,40.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,3.6046674544734123,U104,20180412
128,41.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.8885872620547786,U104,20180412
129,41.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,2.4165860341103893,U104,20180412
130,41.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,3.209494303628106,U104,20180412
131,41.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,3.7483335049397213,U104,20180412
132,41.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,2.0698293797688034,U104,20180412
133,41.0,4.4,0.1,1,795,Allura Clarity,Plane A,11,2.5300525418889284,U104,20180412
134,41.0,4.4,0.4,1,795,Allura Clarity,Plane A,11,3.255079379810323,U104,20180412
135,41.0,4.4,0.9,1,795,Allura Clarity,Plane A,11,3.767054256998537,U104,20180412
136,42.0,4.4,0.0,0,795,Allura Clarity,Plane A,11,1.945060651251347,U104,20180412
137,42.0,4.4,0.1,0,795,Allura Clarity,Plane A,11,2.4979702481207067,U104,20180412
138,42.0,4.4,0.4,0,795,Allura Clarity,Plane A,11,3.3348293293859954,U104,20180412
139,42.0,4.4,0.9,0,795,Allura Clarity,Plane A,11,3.908566151005554,U104,20180412
140,42.0,4.4,0.0,1,795,Allura Clarity,Plane A,11,2.134069121622114,U104,20180412
