kVp_kV,HVL_mmAl,UdivRho,FieldSize_cm
140,7.67,1.046,10
140,8.07,1.048,10
140,8.89,1.051,10
140,9.14,1.052,10
140,9.59,1.054,10
140,9.71,1.055,10
140,11.2,1.063,10
140,12.04,1.068,10
140,12.09,1.068,10
150,5.52,1.039,10
150,6.04,1.041,10
150,6.75,1.044,10
150,7.34,1.046,10
150,8.09,1.049,10
150,8.48,1.05,10
150,9.29,1.054,10
150,9.54,1.055,10
150,9.98,1.057,10
150,10.1,1.058,10
150,11.58,1.065,10
150,12.44,1.07,10
150,12.48,1.071,10
50,1.78,1.016,20
50,1.99,1.016,20
50,2.3,1.015,20
50,2.57,1.015,20
50,2.89,1.015,20
50,3.09,1.015,20
50,3.49,1.015,20
50,3.62,1.016,20
50,3.85,1.016,20
50,3.91,1.016,20
50,4.7,1.017,20
50,5.13,1.019,20
50,5.15,1.019,20
60,2.11,1.017,20
60,2.37,1.017,20
60,2.76,1.017,20
60,3.09,1.017,20
60,3.51,1.017,20
60,3.76,1.018,20
60,4.28,1.019,20
60,4.45,1.019,20
60,4.76,1.02,20
60,4.84,1.02,20
60,5.9,1.023,20
60,6.49,1.025,20
60,6.51,1.026,20
70,2.43,1.018,20
70,2.73,1.019,20
70,3.18,1.019,20
70,3.57,1.02,20
70,4.08,1.021,20
70,4.36,1.021,20
70,4.99,1.023,20
70,5.2,1.023,20
70,5.56,1.025,20
70,5.66,1.025,20
70,6.94,1.03,20
70,7.65,1.033,20
70,7.68,1.033,20
80,2.77,1.02,20
80,3.12,1.021,20
80,3.63,1.022,20
80,4.08,1.023,20
80,4.66,1.024,20
80,4.99,1.025,20
80,5.71,1.027,20
80,5.94,1.028,20
80,6.36,1.03,20
80,6.47,1.03,20
80,7.88,1.036,20
80,8.66,1.04,20
80,8.69,1.04,20
90,3.14,1.023,20
90,3.53,1.024,20
90,4.1,1.025,20
90,4.59,1.026,20
90,5.24,1.028,20
90,5.6,1.029,20
90,6.38,1.032,20
90,6.62,1.033,20
90,7.07,1.035,20
90,7.18,1.035,20
90,8.66,1.042,20
90,9.45,1.046,20
90,9.48,1.046,20
100,3.52,1.025,20
100,3.95,1.026,20
100,4.57,1.028,20
100,5.09,1.03,20
100,5.79,1.032,20
100,6.17,1.033,20
100,6.97,1.036,20
100,7.23,1.037,20
100,7.69,1.039,20
100,7.81,1.04,20
100,9.3,1.047,20
100,10.1,1.051,20
100,10.14,1.051,20
110,3.91,1.028,20
110,4.37,1.029,20
110,5.02,1.031,20
110,5.57,1.033,20
110,6.3,1.035,20
110,6.69,1.037,20
110,7.51,1.04,20
110,7.77,1.041,20
110,8.23,1.043,20
110,8.35,1.043,20
110,9.85,1.051,20
110,10.67,1.055,20
110,10.7,1.056,20
120,4.31,1.031,20
120,4.79,1.032,20
120,5.47,1.034,20
120,6.04,1.036,20
120,6.78,1.039,20
120,7.18,1.04,20
120,8.01,1.043,20
120,8.27,1.044,20
120,8.73,1.046,20
120,8.85,1.047,20
120,10.34,1.054,20
120,11.17,1.059,20
120,11.21,1.059,20
130,4.71,1.033,20
130,5.21,1.035,20
130,5.91,1.037,20
130,6.49,1.039,20
130,7.24,1.041,20
130,7.63,1.043,20
