,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
59,34.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,2.619111130598402,U106,20180328
60,35.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,1.5016398329794056,U106,20180328
61,35.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,1.8927466382664828,U106,20180328
62,35.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,2.1390274852928077,U106,20180328
63,35.0,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,2.310297422890577,U106,20180328
64,35.0,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,2.614461951601332,U106,20180328
65,35.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,2.77953004786373,U106,20180328
66,36.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,1.5619768326837513,U106,20180328
67,36.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,1.9789425390280788,U106,20180328
68,36.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,2.243588614763834,U106,20180328
69,36.0,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,2.4287171708077016,U106,20180328
70,36.0,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,2.7600547652158327,U106,20180328
71,36.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,2.941436596821858,U106,20180328
72,37.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,1.621553559162971,U106,20180328
73,37.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,2.0643958412325767,U106,20180328
74,37.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,2.3475480793647945,U106,20180328
75,37.0,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,2.546698771569425,U106,20180328
76,37.0,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,2.9055333300746446,U106,20180328
77,37.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,3.1032168585654665,U106,20180328
78,38.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,1.680351313894651,U106,20180328
79,38.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,2.149003297151755,U106,20180328
80,38.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,2.450707432766246,U106,20180328
81,38.0,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,2.663954719178101,U106,20180328
82,38.0,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,3.050457820221577,U106,20180328
83,38.0,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,3.264509249563915,U106,20180328
84,39.0,4.1,0.0,0,770,AXIOM-Artis,Single Plane,8,1.7383698550661526,U106,20180328
85,39.0,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,2.2327259463182285,U106,20180328
86,39.0,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,2.552998347861235,U106,20180328
