kvp_kV,inherent_filtration_mmAl,added_filtration_mmCu,hvl_mmAl,h,field_side_length_cm,backscatter,mu_en_quotient
130,3.1,0.6,10.79,6.93,5,1.261,1.062
130,2.5,0.9,11.62,0.94,5,1.253,1.067
130,3.1,0.9,11.66,7.52,5,1.253,1.068
140,2.5,0,5.11,0.64,5,1.249,1.038
140,3.1,0,5.62,3.83,5,1.254,1.040
140,4.1,0,6.34,0.71,5,1.259,1.042
140,5.1,0,6.92,0.74,5,1.263,1.045
140,3.1,0.1,7.67,5.05,5,1.265,1.048
140,4.1,0.1,8.07,0.80,5,1.266,1.049
140,3.1,0.2,8.89,5.78,5,1.266,1.053
140,4.1,0.2,9.14,0.85,5,1.266,1.054
140,2.5,0.3,9.59,0.87,5,1.264,1.056
140,3.1,0.3,9.71,6.29,5,1.264,1.057
140,3.1,0.6,11.20,7.25,5,1.254,1.065
140,2.5,0.9,12.04,0.94,5,1.245,1.070
140,3.1,0.9,12.09,7.87,5,1.245,1.071
150,2.5,0,5.52,0.64,5,1.248,1.041
150,3.1,0,6.04,4.10,5,1.252,1.042
150,4.1,0,6.75,0.72,5,1.257,1.045
150,5.1,0,7.34,0.75,5,1.260,1.047
150,3.1,0.1,8.09,5.33,5,1.261,1.050
150,4.1,0.1,8.48,0.81,5,1.262,1.052
150,3.1,0.2,9.29,6.06,5,1.261,1.056
150,4.1,0.2,9.54,0.86,5,1.260,1.057
150,2.5,0.3,9.98,0.87,5,1.259,1.059
150,3.1,0.3,10.10,6.57,5,1.258,1.060
150,3.1,0.6,11.58,7.55,5,1.247,1.068
150,2.5,0.9,12.44,0.94,5,1.237,1.073
150,3.1,0.9,12.48,8.20,5,1.237,1.073
50,2.5,0,1.78,0.75,10,1.239,1.016
50,3.1,0,1.99,0.78,10,1.256,1.016
50,4.1,0,2.30,0.81,10,1.280,1.015
50,5.1,0,2.57,0.83,10,1.298,1.015
50,3.1,0.1,2.89,0.85,10,1.319,1.015
