kvp_kv,filtration_inherent_mmal,filtration_added_mmcu,filtration_added_mmal,anode_angle_deg,hvl_mmal
25,2.0,0.0,0,11,0.661259566388376
25,2.0,0.1,0,11,0.9238027451715406
25,2.0,0.4,0,11,1.1713026226464385
25,2.0,0.9,0,11,1.2816640084900606
25,2.0,0.0,1,11,0.7739767079315254
25,2.0,0.1,1,11,0.9710011279205571
25,2.0,0.4,1,11,1.1832116849085037
25,2.0,0.9,1,11,1.284951496492987
25,2.1,0.0,0,11,0.6747229085624277
25,2.1,0.1,0,11,0.9290182619251343
25,2.1,0.4,0,11,1.1725488299384481
25,2.1,0.9,0,11,1.282002681257376
25,2.1,0.0,1,11,0.7831282088415231
25,2.1,0.1,1,11,0.9751846766909918
25,2.1,0.4,1,11,1.184338349693758
25,2.1,0.9,1,11,1.285268421432058
25,2.2,0.0,0,11,0.6875936461467993
25,2.2,0.1,0,11,0.9341122364381076
25,2.2,0.4,0,11,1.1737822363047434
25,2.2,0.9,0,11,1.2823391031055678
25,2.2,0.0,1,11,0.7919840554002008
25,2.2,0.1,1,11,0.9792838564575995
25,2.2,0.4,1,11,1.1854540220928553
25,2.2,0.9,1,11,1.2855832615540923
25,2.3000000000000003,0.0,0,11,0.6999206736606367
25,2.3000000000000003,0.1,0,11,0.9390893578863958
25,2.3000000000000003,0.4,0,11,1.1750030412230217
25,2.3000000000000003,0.9,0,11,1.2826732914176646
25,2.3000000000000003,0.0,1,11,0.8005602870581866
25,2.3000000000000003,0.1,1,11,0.9833014427089224
25,2.3000000000000003,0.4,1,11,1.1865588622789744
25,2.3000000000000003,0.9,1,11,1.2858960325678037
25,2.4000000000000004,0.0,0,11,0.7117463704311203
25,2.4000000000000004,0.1,0,11,0.9439540551613068
25,2.4000000000000004,0.4,0,11,1.176211439696974
25,2.4000000000000004,0.9,0,11,1.2830052633984377
25,2.4000000000000004,0.0,1,11,0.8088716458609371
25,2.4000000000000004,0.1,1,11,0.9872400825892425
25,2.4000000000000004,0.4,1,11,1.187653027074027
25,2.4000000000000004,0.9,1,11,1.2862067500269343
25,2.5000000000000004,0.0,0,11,0.7231077810903657
25,2.5000000000000004,0.1,0,11,0.9487105168028942
25,2.5000000000000004,0.4,0,11,1.17740762239579
25,2.5000000000000004,0.9,0,11,1.2833350386159024
25,2.5000000000000004,0.0,1,11,0.816931740376595
25,2.5000000000000004,0.1,1,11,0.9911023049395401
25,2.5000000000000004,0.4,1,11,1.1887366700396569
25,2.5000000000000004,0.9,1,11,1.2865154293323777
25,2.6000000000000005,0.0,0,11,0.7340375434730297
25,2.6000000000000005,0.1,0,11,0.9533627084758121
25,2.6000000000000005,0.4,0,11,1.178591775782341
25,2.6000000000000005,0.9,0,11,1.283662628847048
25,2.6000000000000005,0.0,1,11,0.8247531574988768
25,2.6000000000000005,0.1,1,11,0.9948904985371445
25,2.6000000000000005,0.4,1,11,1.1898099415652181
25,2.6000000000000005,0.9,1,11,1.2868220857342405
25,2.7000000000000006,0.0,0,11,0.7445646674574931
