kvp_kv,filtration_inherent_mmal,filtration_added_mmcu,filtration_added_mmal,anode_angle_deg,hvl_mmal
25,2.0,0.0,0,8,0.667816986835345
25,2.0,0.1,0,8,0.9273992303243369
25,2.0,0.2,0,8,1.0504752126384576
25,2.0,0.3,0,8,1.1237388975242792
25,2.0,0.6,0,8,1.2338055028096366
25,2.0,0.9,0,8,1.282149652126762
25,2.1,0.0,0,8,0.6811062620452718
25,2.1,0.1,0,8,0.932559599229105
25,2.1,0.2,0,8,1.053283826740322
25,2.1,0.3,0,8,1.1255224883982882
25,2.1,0.6,0,8,1.234491376213342
25,2.1,0.9,0,8,1.282485476451464
25,2.2,0.0,0,8,0.6938117293987726
25,2.2,0.1,0,8,0.9376001316286808
25,2.2,0.2,0,8,1.0560472029025965
25,2.2,0.3,0,8,1.1272838981353601
25,2.2,0.6,0,8,1.2351717841573706
25,2.2,0.9,0,8,1.2828190672184479
25,2.3000000000000003,0.0,0,8,0.7059817959843567
25,2.3000000000000003,0.1,0,8,0.9425254329550871
25,2.3000000000000003,0.2,0,8,1.0587665129720127
25,2.3000000000000003,0.3,0,8,1.1290235608479062
25,2.3000000000000003,0.6,0,8,1.2358467861751665
25,2.3000000000000003,0.9,0,8,1.2831504416799127
25,2.4000000000000004,0.0,0,8,0.7176583007573498
25,2.4000000000000004,0.1,0,8,0.9473398540483828
25,2.4000000000000004,0.2,0,8,1.0614429126846212
25,2.4000000000000004,0.3,0,8,1.130741898471616
25,2.4000000000000004,0.6,0,8,1.2365164408679037
25,2.4000000000000004,0.9,0,8,1.2834796194499922
25,2.5000000000000004,0.0,0,8,0.7288777665625736
25,2.5000000000000004,0.1,0,8,0.9520475105397808
25,2.5000000000000004,0.2,0,8,1.0640774783532492
25,2.5000000000000004,0.3,0,8,1.132439321257337
25,2.5000000000000004,0.6,0,8,1.23718080592402
25,2.5000000000000004,0.9,0,8,1.2838066123517509
25,2.6000000000000005,0.0,0,8,0.7396723462922017
25,2.6000000000000005,0.1,0,8,0.9566522998772345
25,2.6000000000000005,0.2,0,8,1.0666712593115852
25,2.6000000000000005,0.3,0,8,1.1341162282072121
25,2.6000000000000005,0.6,0,8,1.237839938138133
25,2.6000000000000005,0.9,0,8,1.2841314396541132
25,2.7000000000000006,0.0,0,8,0.7500705768561063
25,2.7000000000000006,0.1,0,8,0.9611579166283379
25,2.7000000000000006,0.2,0,8,1.069225270278682
25,2.7000000000000006,0.3,0,8,1.1357730074798698
25,2.7000000000000006,0.6,0,8,1.2384938934294452
25,2.7000000000000006,0.9,0,8,1.2844541179171265
25,2.8000000000000007,0.0,0,8,0.7600979481806441
25,2.8000000000000007,0.1,0,8,0.9655678663784655
25,2.8000000000000007,0.2,0,8,1.0717405153053545
25,2.8000000000000007,0.3,0,8,1.1374100367738846
25,2.8000000000000007,0.6,0,8,1.239142726859652
25,2.8000000000000007,0.9,0,8,1.2847746635338233
25,2.900000000000001,0.0,0,8,0.7697773734407048
25,2.900000000000001,0.1,0,8,0.9698854784185867
25,2.900000000000001,0.2,0,8,1.07421791755289
25,2.900000000000001,0.3,0,8,1.1390276836932223
25,2.900000000000001,0.6,0,8,1.239786492650394
25,2.900000000000001,0.9,0,8,1.2850930927325386
25,3.000000000000001,0.0,0,8,0.7791295894065515
25,3.000000000000001,0.1,0,8,0.9741139173636566
25,3.000000000000001,0.2,0,8,1.0766583963345668
25,3.000000000000001,0.3,0,8,1.140626306096523
25,3.000000000000001,0.6,0,8,1.2404252442002808
25,3.000000000000001,0.9,0,8,1.285409421579182
25,3.100000000000001,0.0,0,8,0.7881734284335107
25,3.100000000000001,0.1,0,8,0.9782561938149817
25,3.100000000000001,0.2,0,8,1.0790628336441679
25,3.100000000000001,0.3,0,8,1.1422062524313499
25,3.100000000000001,0.6,0,8,1.241059034101505
25,3.100000000000001,0.9,0,8,1.2857236659795015
25,3.200000000000001,0.0,0,8,0.7969260886827331
25,3.200000000000001,0.1,0,8,0.9823151741628532
25,3.200000000000001,0.2,0,8,1.0814320814072318
25,3.200000000000001,0.3,0,8,1.1437678620542937
25,3.200000000000001,0.6,0,8,1.2416879141560122
25,3.200000000000001,0.9,0,8,1.286035841681265
25,3.300000000000001,0.0,0,8,0.8054033236837403
25,3.300000000000001,0.1,0,8,0.9862935896132936
25,3.300000000000001,0.2,0,8,1.0837669630915565
25,3.300000000000001,0.3,0,8,1.145311465537663
25,3.300000000000001,0.6,0,8,1.242311935391308
25,3.300000000000001,0.9,0,8,1.2863459642764328
